pk,name,country,latitude,longitude,collector,collection_date,cs_number,species,genotypes,count_phenotypes
6811,KNO-12,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6812,KNO-13,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6813,KNO-14,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6814,KNO-15,US,41.2816,-86.621,Joy Bergelson,,CS79017,Arabidopsis thaliana,,0
6815,KNO-16,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6816,KNO-17,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6817,Kno-18,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6818,KNO-2,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6819,KNO-3,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6820,KNO-4,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6821,KNO-5,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6822,KNO-6,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6823,KNO-7,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6824,KNO-8,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6825,KNO-9,US,41.2816,-86.621,Joy Bergelson,,,Arabidopsis thaliana,,0
6827,Kz-10,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,0
6828,Kz-11,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,0
6829,Kz-12,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,0
6830,Kz-13,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,CS76994,Arabidopsis thaliana,,29
6831,Kz-2,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,0
6832,Kz-4,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,0
